id,product,amount,credit rating,cancellation,age
66758466,K1,111900,6,정상,41
66690324,K3,90900,1,정상,60
25867273,K1,96900,,정상,
66755905,K1,96900,5,정상,39
66758726,K1,96900,1,정상,56
66758884,K1,96900,5,정상,40
66758833,K1,96900,2,정상,68
66336105,K1,105900,2,정상,39
66758618,K1,81900,1,정상,50
66758618,K2,81900,1,정상,37
66758904,K1,96900,1,정상,83
66758411,K1,105900,6,정상,53
66758707,K1,96900,3,정상,45
66755260,K1,96900,2,정상,30
66189304,K1,96900,1,정상,31
25742694,K6,185700,,정상,
66758205,K2,90900,6,정상,46
66333255,K1,96900,,정상,
66757002,K1,87900,2,정상,59
66758867,K1,96900,1,정상,33
66758477,K1,81900,7,정상,34
66758477,K2,81900,7,정상,52
66757693,K2,90900,4,정상,31
66758465,K1,96900,4,정상,43
66423621,K1,66900,1,정상,29
66758414,K1,105900,2,정상,58
66758441,K1,96900,5,정상,38
25712046,K1,96900,,정상,
66758501,K5,120900,8,정상,34
66758925,K1,96900,3,정상,61
66758319,K1,96900,1,정상,43
66753137,K1,105900,1,정상,49
66758665,K1,81900,3,정상,51
66758665,K2,81900,3,정상,33
66689896,K2,90900,7,정상,45
66758758,K1,96900,6,정상,81
66758244,K1,105900,2,정상,27
66717197,K1,142200,6,정상,50
66386931,K1,96900,,정상,
25742720,K1,87900,,정상,
25742702,K2,96900,,정상,
25758034,K3,90900,,정상,
66756867,K1,111900,1,정상,32
66454360,K1,102900,3,정상,47
66758891,K1,111900,1,정상,54
66758145,K1,108900,5,정상,29
66758543,K1,115200,5,정상,38
66237893,K1,105900,8,정상,43
66758839,K1,111900,3,정상,28
66758839,K3,102900,3,정상,38
66758608,K1,96900,,정상,
66758739,K1,96900,1,정상,52
66758642,K1,96900,3,정상,43
66758500,K1,87900,1,정상,61
66423387,K1,66900,3,정상,50
66758910,K1,96900,2,정상,49
25752706,K1,124200,,정상,
66755252,K1,96900,3,정상,31
66241578,K1,98400,5,정상,50
66241578,K2,80400,5,정상,68
66758850,K1,96900,2,정상,57
66753891,K1,104400,4,정상,33
66753891,K2,89400,4,정상,
66758329,K1,111900,5,정상,56
25743453,K1,96900,,정상,
25767728,K1,66900,,정상,
66758782,K6,185700,6,정상,60
66755363,K1,96900,4,정상,39
66758616,K1,96900,4,정상,55
