,1번웨이퍼,2번웨이퍼,3번웨이퍼,Error_Chip_Rate_Path,PATH
22,Path_21133,Path_33211,Path_12322,0.04938,138
155,Path_31333,Path_23211,Path_12122,0.049340425531914894,139
73,Path_33311,Path_22222,Path_11133,0.049272277227722774,140
33,Path_21222,Path_12311,Path_33133,0.04912371134020618,141
14,Path_21122,Path_13311,Path_32233,0.04904,142
97,Path_11333,Path_23122,Path_32211,0.04901063829787234,143
212,Path_32111,Path_23233,Path_11322,0.04873404255319149,144
47,Path_21233,Path_32111,Path_13322,0.04873,145
160,Path_33111,Path_22233,Path_11322,0.04856122448979592,146
191,Path_11133,Path_23322,Path_32211,0.04853125,147
67,Path_21333,Path_33222,Path_12111,0.0485,148
100,Path_12133,Path_23311,Path_31222,0.04847777777777778,149
204,Path_23333,Path_31122,Path_12211,0.04845744680851064,150
127,Path_22222,Path_11311,Path_33133,0.04833663366336634,151
32,Path_21222,Path_33311,Path_12133,0.048304123711340206,152
12,Path_21122,Path_33333,Path_12211,0.0483,153
28,Path_21211,Path_12333,Path_33122,0.0482,154
82,Path_11111,Path_23233,Path_32322,0.04803191489361702,155
188,Path_22322,Path_33133,Path_11211,0.04802127659574468,156
40,Path_21233,Path_33311,Path_12122,0.04792,157
9,Path_21122,Path_12311,Path_33233,0.04776,158
46,Path_21233,Path_13311,Path_32122,0.04766,159
165,Path_33333,Path_22211,Path_11122,0.0476530612244898,160
162,Path_33222,Path_22133,Path_11311,0.047630681818181815,161
27,Path_21211,Path_33333,Path_12122,0.0476,162
210,Path_31311,Path_23122,Path_12233,0.047563829787234044,163
90,Path_11222,Path_23333,Path_32111,0.04743548387096774,164
61,Path_21322,Path_32111,Path_13233,0.04741,165
190,Path_11133,Path_23211,Path_32322,0.04728125,166
152,Path_31333,Path_22122,Path_13211,0.04725,167
95,Path_11333,Path_22122,Path_33211,0.04724,168
206,Path_23333,Path_32122,Path_11211,0.04720212765957447,169
154,Path_31333,Path_23122,Path_12211,0.04704255319148936,170
53,Path_21311,Path_32233,Path_13122,0.047,171
166,Path_22122,Path_11311,Path_33233,0.046950980392156866,172
21,Path_21133,Path_32322,Path_13211,0.04675,173
50,Path_21311,Path_13222,Path_32133,0.04666326530612245,174
7,Path_21111,Path_33322,Path_12233,0.04641,175
87,Path_11222,Path_23311,Path_32133,0.04636021505376344,176
186,Path_22322,Path_11133,Path_33211,0.04621875,177
192,Path_11311,Path_23122,Path_32233,0.04615625,178
60,Path_21322,Path_12111,Path_33233,0.04604901960784314,179
207,Path_23333,Path_32211,Path_11122,0.04598936170212766,180
77,Path_11111,Path_22333,Path_33222,0.04590449438202247,181
45,Path_21233,Path_12111,Path_33322,0.04573529411764706,182
81,Path_11111,Path_22322,Path_33233,0.04573404255319149,183
88,Path_11222,Path_22311,Path_33133,0.045672043010752686,184
41,Path_21233,Path_12311,Path_33122,0.04563,185
91,Path_11333,Path_22111,Path_33222,0.04560869565217391,186
83,Path_11111,Path_23322,Path_32233,0.04553191489361702,187
156,Path_32133,Path_23211,Path_11322,0.04541489361702128,188
144,Path_23311,Path_31122,Path_12233,0.04538297872340426,189
193,Path_11311,Path_23233,Path_32122,0.04521875,190
55,Path_21311,Path_33233,Path_12122,0.04505,191
174,Path_22211,Path_11133,Path_33322,0.04503,192
23,Path_21133,Path_33322,Path_12211,0.04482,193
59,Path_21322,Path_33111,Path_12233,0.04469,194
